COUNTRY,COUNTRY_CODE,CPI,GDI,GINI,PERCENTURBAN,LINCPI,LINGDI,LINGINI,LINURBAN,POWERAVERAGE,CR
Albania,99,2.4,0.776,28.2,0.338,0.088607595,0.732946299,0.082073434,0.328990947,0.523499208,0.476500792
Algeria,99,2.8,0.706,35.3,0.406,0.139240506,0.631349782,0.235421166,0.404062707,0.466222615,0.533777385
Argentina,99,2.8,0.854,52.2,0.6757,0.139240506,0.846153846,0.600431965,0.701810554,0.685946361,0.314053639
Armenia,99,2.9,0.756,37.9,0.544,0.151898734,0.703918723,0.291576674,0.556414219,0.543541223,0.456458777
Australia,99,8.8,0.954,35.2,0.8571,0.898734177,0.991291727,0.233261339,0.902075513,0.869199658,0.130800342
Austria,99,8.7,0.926,30,0.5494,0.886075949,0.95065312,0.120950324,0.5623758,0.786864716,0.213135284
Azerbaijan,99,2.2,0.725,36.5,0.65,0.063291139,0.65892598,0.261339093,0.673437845,0.561945512,0.438054488
Bangladesh,99,1.7,0.514,31.8,0.152,0,0.352685051,0.159827214,0.123647604,0.252883107,0.747116893
Belarus,99,2.6,0.785,30.4,0.635,0.113924051,0.746008708,0.129589633,0.656877898,0.593517628,0.406482372
Belgium,99,7.4,0.941,25,0.9458,0.721518987,0.972423803,0.012958963,1,0.857746422,0.142253578
Bolivia,99,2.5,0.679,44.7,0.417,0.101265823,0.592162554,0.438444924,0.416206668,0.466862305,0.533137695
Botswana,99,5.9,0.559,63,0.1696,0.53164557,0.417997097,0.833693305,0.143077942,0.620751139,0.379248861
Brazil,99,3.7,0.786,59.1,0.7,0.253164557,0.747460087,0.749460043,0.728637668,0.691314575,0.308685425
Bulgaria,99,4,0.807,31.9,0.635,0.291139241,0.777939042,0.161987041,0.656877898,0.611775366,0.388224634
Burkina Faso,99,3.4,0.311,48.2,0.0907,0.215189873,0.058055152,0.514038877,0.055972621,0.366266509,0.633733491
Burundi,99,2.3,0.373,33.3,0.0403,0.075949367,0.148040639,0.192224622,0.000331199,0.147218214,0.852781786
Cambodia,99,2.3,0.567,40.4,0.103,0.075949367,0.429608128,0.345572354,0.069551777,0.331630653,0.668369347
Canada,99,8.4,0.946,33.1,0.7573,0.848101266,0.979680697,0.187904968,0.791896666,0.82276753,0.17723247
Chile,99,7.3,0.846,57.1,0.86,0.708860759,0.834542816,0.706263499,0.905277103,0.802379755,0.197620245
China,99,3.2,0.754,44.7,0.2644,0.189873418,0.701015965,0.438444924,0.247736807,0.515976458,0.484023542
Colombia,1,4,0.78,57.6,0.6359,0.291139241,0.738751814,0.717062635,0.657871495,0.659506865,0.340493135
Costa Rica,99,4.2,0.829,46.5,0.3954,0.316455696,0.809869376,0.477321814,0.392360344,0.599254203,0.400745797
Cote d'Ivoire,99,1.9,0.403,45.2,0.3239,0.025316456,0.191582003,0.44924406,0.313424597,0.337224174,0.662775826
Croatia,99,3.4,0.837,29,0.54,0.215189873,0.821480406,0.099352052,0.551998234,0.60907465,0.39092535
Czech Republic,99,4.3,0.872,25.4,0.775,0.329113924,0.872278665,0.021598272,0.811437403,0.711344195,0.288655805
Denmark,99,9.5,0.938,24.7,0.826,0.987341772,0.968069666,0.006479482,0.867741223,0.879704241,0.120295759
