COUNTRY,COUNTRY_CODE,CPI,GINI,PERCENTURBAN,UNEMPLOYRATE,CONSUMERPRICEINDEX,LINCPI,LINGINI,LINURBAN,LINUNEMPLOYRATE,LINCONSUMERPRICEINDEX,POWERAVERAGE,CR
Albania,99,2.4,28.2,0.338,0.124,114.001738,0.088607595,0.082073434,0.328990947,0.14213198,0.083845552,0.233161204,0.766838796
Algeria,99,2.8,35.3,0.406,0.175,114.5258297,0.139240506,0.235421166,0.404062707,0.206852792,0.085894508,0.294536881,0.705463119
Argentina,99,2.8,52.2,0.6757,0.111,147.4880411,0.139240506,0.600431965,0.701810554,0.125634518,0.214761546,0.552580671,0.447419329
Armenia,99,2.9,37.9,0.544,0.052,116.256158,0.151898734,0.291576674,0.556414219,0.050761421,0.092659294,0.401176852,0.598823148
Australia,99,8.8,35.2,0.8571,0.055,113.0841121,0.898734177,0.233261339,0.902075513,0.054568528,0.080258058,0.757577045,0.242422955
Austria,99,8.7,30,0.5494,0.045,108.1,0.886075949,0.120950324,0.5623758,0.041878173,0.060772479,0.650600799,0.349399201
Azerbaijan,99,2.2,36.5,0.65,0.013,113.8502204,0.063291139,0.261339093,0.673437845,0.001269036,0.083253188,0.478878851,0.521121149
Bangladesh,99,1.7,31.8,0.152,0.025,118.3531955,0,0.159827214,0.123647604,0.016497462,0.100857743,0.122004994,0.877995006
Belarus,99,2.6,30.4,0.635,0.016,348.3399928,0.113924051,0.129589633,0.656877898,0.005076142,1,0.464763515,0.535236485
Belgium,99,7.4,25,0.9458,0.076,108.0270702,0.721518987,0.012958963,1,0.081218274,0.060487357,0.750797041,0.249202959
Bolivia,99,2.5,44.7,0.417,0.08,110.6484296,0.101265823,0.438444924,0.416206668,0.086294416,0.070735663,0.359842292,0.640157708
Botswana,99,5.9,63,0.1696,0.238,134.4224924,0.53164557,0.833693305,0.143077942,0.28680203,0.163681279,0.61261596,0.38738404
Brazil,99,3.7,59.1,0.7,0.099,141.6875497,0.253164557,0.749460043,0.728637668,0.110406091,0.192084301,0.622714411,0.377285589
Bulgaria,99,4,31.9,0.635,0.125,123.4141742,0.291139241,0.161987041,0.656877898,0.143401015,0.120643834,0.469317235,0.530682765
Cambodia,99,2.3,40.4,0.103,0.025,107.879732,0.075949367,0.345572354,0.069551777,0.016497462,0.059911333,0.244598964,0.755401036
Canada,99,8.4,33.1,0.7573,0.075,109.7797357,0.848101266,0.187904968,0.791896666,0.079949239,0.067339471,0.690982324,0.309017676
Chile,99,7.3,57.1,0.86,0.069,110.2735157,0.708860759,0.706263499,0.905277103,0.072335025,0.069269923,0.7358722,0.2641278
China,99,3.2,44.7,0.2644,0.2,104.53,0.189873418,0.438444924,0.247736807,0.23857868,0.046815427,0.320147341,0.679852659
Colombia,1,4,57.6,0.6359,0.106,132.4566647,0.291139241,0.717062635,0.657871495,0.11928934,0.1559958,0.58198101,0.41801899
Costa Rica,99,4.2,46.5,0.3954,0.054,149.2972197,0.316455696,0.477321814,0.392360344,0.053299492,0.221834599,0.382517477,0.617482523
Cote d'Ivoire,99,1.9,45.2,0.3239,0.13,112.7111111,0.025316456,0.44924406,0.313424597,0.149746193,0.078799796,0.335006854,0.664993146
Croatia,99,3.4,29,0.54,0.012,110.4,0.215189873,0.099352052,0.551998234,0,0.069764418,0.392656777,0.607343223
Czech Republic,99,4.3,25.4,0.775,0.083,109.7,0.329113924,0.021598272,0.811437403,0.090101523,0.067027741,0.577616082,0.422383918
Denmark,99,9.5,24.7,0.826,0.058,108.3,0.987341772,0.006479482,0.867741223,0.058375635,0.061554387,0.784787825,0.215212175
Dominican Republic,99,3,47.4,0.3974,0.105,221.167415,0.164556962,0.496760259,0.394568337,0.118020305,0.502813901,0.382772843,0.617227157
Ecuador,3,2.5,43.7,0.18,0.066,171.7287382,0.101265823,0.416846652,0.154559505,0.068527919,0.309531486,0.29639085,0.70360915
El Salvador,5,4.2,53.2,0.3954,0.087,112.7310844,0.316455696,0.622030238,0.392360344,0.095177665,0.078877883,0.462760839,0.537239161
Ethiopia,99,2.2,30,0.1226,0.158,105.802076,0.063291139,0.120950324,0.091190108,0.185279188,0.051788657,0.092998621,0.907001379
Finland,99,9.6,26.9,0.721,0.087,105.3,1,0.05399568,0.751821594,0.095177665,0.049825771,0.757857134,0.242142866
France,99,7.5,32.7,0.73,0.09,108.0234834,0.734177215,0.179265659,0.761757562,0.098984772,0.060473335,0.629542421,0.370457579
Germany,99,8.2,28.3,0.8,0.115,106.2,0.82278481,0.084233261,0.839037315,0.13071066,0.053344356,0.698819578,0.301180422
Ghana,99,3.5,30,0.313,0.2,217.7185369,0.227848101,0.120950324,0.301391036,0.23857868,0.489330378,0.22982921,0.77017079
Greece,99,4.3,35.4,0.7,0.106,114.0913508,0.329113924,0.237580994,0.728637668,0.11928934,0.084195897,0.521910642,0.478089358
Guatemala,6,2.5,48.3,0.69,0.075,131.7934208,0.101265823,0.516198704,0.717597704,0.079949239,0.153402822,0.538467065,0.461532935
Guyana,99,2.5,43.2,0.36,0.091,119.9747952,0.101265823,0.406047516,0.35327887,0.100253807,0.107197449,0.321744781,0.678255219
"Hong Kong, China (SAR)",99,8.3,43.4,0.9207,0.078,92.55533199,0.835443038,0.410367171,0.972289689,0.083756345,0,0.770420486,0.229579514
Hungary,99,5,24.4,0.589,0.061,128.5303055,0.417721519,0,0.60609406,0.062182741,0.140645547,0.45093551,0.54906449
India,99,2.9,32.5,0.2331,0.099,109.771987,0.151898734,0.174946004,0.213181718,0.110406091,0.067309177,0.172411643,0.827588357
Indonesia,99,2.2,34.3,0.35,0.109,141.2582382,0.063291139,0.213822894,0.342238905,0.123096447,0.190405891,0.250797097,0.749202903
Iran,99,2.9,43,0.4703,0.112,165.5979962,0.151898734,0.401727862,0.47504968,0.126903553,0.285563114,0.373093913,0.626906087
Ireland,99,7.4,35.9,0.5561,0.042,115.9577236,0.721518987,0.24838013,0.569772577,0.038071066,0.091492553,0.555253407,0.444746593
Israel,99,6.3,35.5,0.8,0.089,107.2207,0.582278481,0.239740821,0.839037315,0.097715736,0.057334822,0.625893703,0.374106297
Italy,99,5,36,0.67,0.079,110.4702751,0.417721519,0.250539957,0.695517774,0.085025381,0.070039161,0.508954804,0.491045196
Jamaica,99,3.6,37.9,0.4141,0.081,143.5718087,0.240506329,0.291576674,0.413005078,0.087563452,0.199450884,0.315571419,0.684428581
Japan,99,7.3,24.9,0.759,0.049,98.1,0.708860759,0.010799136,0.79377346,0.046954315,0.021677093,0.63478614,0.36521386
Jordan,99,5.7,36.4,0.86,0.125,108.9254789,0.506329114,0.259179266,0.905277103,0.143401015,0.063999721,0.656244526,0.343755474
Kazakstan,99,2.6,31.3,0.57,0.07,130.4602094,0.113924051,0.149028078,0.585118128,0.073604061,0.148190581,0.414323689,0.585676311
Kenya,99,2.1,44.5,0.151,0.4,133.4656513,0.050632911,0.43412527,0.122543608,0.492385787,0.159940472,0.307473139,0.692526861
"Korea, Rep. of",99,5,31.6,0.5725,0.039,114.7,0.417721519,0.155507559,0.587878119,0.034263959,0.086575434,0.440401515,0.559598485
Krygyzstan,99,2.3,29,0.35,0.057,115.5,0.075949367,0.099352052,0.342238905,0.057106599,0.089703065,0.242573816,0.757426184
Latvia,99,4.2,32.4,0.68,0.106,114.2,0.316455696,0.172786177,0.706557739,0.11928934,0.084620665,0.504996907,0.495003093
Lesotho,99,3.4,63.2,0.0463,0.45,135.4789701,0.215189873,0.838012959,0.006955178,0.555837563,0.167811619,0.593207709,0.406792291
Lithuania,99,4.8,31.9,0.67,0.114,101.6,0.392405063,0.161987041,0.695517774,0.129441624,0.035360479,0.504152046,0.495847954
Luxembourg,99,8.5,30.8,0.6786,0.049,109.3202063,0.860759494,0.138228942,0.705012144,0.046954315,0.065542923,0.667978102,0.332021898
Macedonia,99,2.7,28.2,0.59,0.367,108.2474227,0.126582278,0.082073434,0.607198057,0.450507614,0.061348834,0.429592228,0.570407772
Malaysia,99,5.1,49.2,0.342,0.036,105.9,0.430379747,0.535637149,0.333406933,0.030456853,0.052171494,0.423756762,0.576243238
