CASEID,COUNTRY,COUNTRY_CODE,AGERANGE,LOWER,UPPER,MEANAGE,MALE,FEMALE,AGECAT
1,Colombia,1,0-4,0.1,4,2,2222292,2167840,1
2,Colombia,1,5-9,5,9,7,2240709,2189357,2
3,Colombia,1,10-14,10,14,12,2207949,2159174,3
4,Colombia,1,15-19,19,19,17,1977040,1941902,4
5,Colombia,1,20-24,20,24,22,1838483,1832783,5
6,Colombia,1,25-29,25,29,27,1657908,1693580,6
7,Colombia,1,30-34,30,34,32,1652155,1710268,7
8,Colombia,1,35-39,35,39,37,1640608,1718305,8
9,Colombia,1,40-44,40,44,42,1446188,1537966,9
10,Colombia,1,45-49,45,49,47,1193806,1297314,10
11,Colombia,1,50-54,50,54,52,904470,1022270,11
12,Colombia,1,55-59,55,59,57,638722,785086,12
13,Colombia,1,60-64,60,64,62,475053,603351,13
14,Colombia,1,65-69,65,69,67,379683,467994,14
15,Colombia,1,70-74,70,74,72,284411,351993,15
16,Colombia,1,75-79,75,79,77,181706,236144,16
17,Colombia,1,80,80,100,80,122327,175442,17
18,Venezuela,2,0-4,0.1,4,2,1229414,1152097,1
19,Venezuela,2,5-9,5,9,7,1289025,1210056,2
20,Venezuela,2,10-14,10,14,12,1391437,1305805,3
21,Venezuela,2,15-19,19,19,17,1271960,1196460,4
22,Venezuela,2,20-24,20,24,22,1216709,1155685,5
23,Venezuela,2,25-29,25,29,27,1144054,1101664,6
24,Venezuela,2,30-34,30,34,32,1008923,987777,7
25,Venezuela,2,35-39,35,39,37,887826,893707,8
26,Venezuela,2,40-44,40,44,42,794234,818368,9
27,Venezuela,2,45-49,45,49,47,683373,708645,10
28,Venezuela,2,50-54,50,54,52,569248,596324,11
29,Venezuela,2,55-59,55,59,57,421328,442595,12
30,Venezuela,2,60-64,60,64,62,289600,308374,13
31,Venezuela,2,65-69,65,69,67,222584,247528,14
32,Venezuela,2,70-74,70,74,72,155185,180355,15
33,Venezuela,2,75-79,75,79,77,108328,135633,16
34,Venezuela,2,80,80,100,80,104139,146841,17
35,Ecuador,3,0-4,0.1,4,2,765747,736874,1
36,Ecuador,3,5-9,5,9,7,776237,747969,2
37,Ecuador,3,10-14,10,14,12,740268,711099,3
38,Ecuador,3,15-19,19,19,17,699268,675486,4
39,Ecuador,3,20-24,20,24,22,640799,624837,5
40,Ecuador,3,25-29,25,29,27,579864,579659,6
41,Ecuador,3,30-34,30,34,32,488557,507049,7
42,Ecuador,3,35-39,35,39,37,414736,442070,8
43,Ecuador,3,40-44,40,44,42,359754,380316,9
44,Ecuador,3,45-49,45,49,47,309060,315588,10
45,Ecuador,3,50-54,50,54,52,255941,259046,11
46,Ecuador,3,55-59,55,59,57,195638,194694,12
47,Ecuador,3,60-64,60,64,62,150529,151351,13
48,Ecuador,3,65-69,65,69,67,112222,116003,14
49,Ecuador,3,70-74,70,74,72,81598,88047,15
50,Ecuador,3,75-79,75,79,77,56941,64724,16
51,Ecuador,3,80,80,100,80,59575,82047,17
52,Peru,4,0-4,0.1,4,2,1442350,1387942,1
53,Peru,4,5-9,5,9,7,1490246,1438359,2
54,Peru,4,10-14,10,14,12,1546682,1497055,3
55,Peru,4,15-19,19,19,17,1401904,1363991,4
56,Peru,4,20-24,20,24,22,1222784,1198090,5
57,Peru,4,25-29,25,29,27,1202715,1182468,6
58,Peru,4,30-34,30,34,32,1116640,1100614,7
59,Peru,4,35-39,35,39,37,997445,984455,8
60,Peru,4,40-44,40,44,42,861161,851401,9
61,Peru,4,45-49,45,49,47,707238,701013,10
62,Peru,4,50-54,50,54,52,576123,574673,11
63,Peru,4,55-59,55,59,57,450609,454453,12
64,Peru,4,60-64,60,64,62,355166,365185,13
65,Peru,4,65-69,65,69,67,279771,296667,14
66,Peru,4,70-74,70,74,72,199801,220742,15
67,Peru,4,75-79,75,79,77,121920,142589,16
68,Peru,4,80,80,100,80,83687,109689,17
69,El Salvador,5,0-4,0.1,4,2,444289,425460,1
70,El Salvador,5,5-9,5,9,7,422715,404834,2
71,El Salvador,5,10-14,10,14,12,383897,368295,3
72,El Salvador,5,15-19,19,19,17,352993,347398,4
73,El Salvador,5,20-24,20,24,22,320128,323600,5
74,El Salvador,5,25-29,25,29,27,275012,285821,6
75,El Salvador,5,30-34,30,34,32,220885,250589,7
76,El Salvador,5,35-39,35,39,37,171929,217067,8
77,El Salvador,5,40-44,40,44,42,144601,181437,9
78,El Salvador,5,45-49,45,49,47,120208,145782,10
79,El Salvador,5,50-54,50,54,52,101183,120447,11
80,El Salvador,5,55-59,55,59,57,84731,98348,12
81,El Salvador,5,60-64,60,64,62,68414,80651,13
82,El Salvador,5,65-69,65,69,67,52848,64597,14
83,El Salvador,5,70-74,70,74,72,41284,50853,15
84,El Salvador,5,75-79,75,79,77,29785,37258,16
85,El Salvador,5,80,80,100,80,29216,38377,17
86,Guatemala,6,0-4,0.1,4,2,1184675,1128614,1
87,Guatemala,6,5-9,5,9,7,1069515,1018171,2
88,Guatemala,6,10-14,10,14,12,930847,887162,3
89,Guatemala,6,15-19,19,19,17,816033,779126,4
90,Guatemala,6,20-24,20,24,22,686389,656615,5
91,Guatemala,6,25-29,25,29,27,588236,563415,6
92,Guatemala,6,30-34,30,34,32,474209,458635,7
93,Guatemala,6,35-39,35,39,37,382235,373292,8
94,Guatemala,6,40-44,40,44,42,314649,312682,9
95,Guatemala,6,45-49,45,49,47,261849,265239,10
96,Guatemala,6,50-54,50,54,52,215163,222648,11
97,Guatemala,6,55-59,55,59,57,160703,168513,12
98,Guatemala,6,60-64,60,64,62,119586,128819,13
99,Guatemala,6,65-69,65,69,67,90132,99733,14
100,Guatemala,6,70-74,70,74,72,66888,79962,15
101,Guatemala,6,75-79,75,79,77,41517,49235,16
102,Guatemala,6,80,80,100,80,28208,35494,17
103,Nicaragua,7,0-4,0.1,4,2,337427,324049,1
104,Nicaragua,7,5-9,5,9,7,338989,326875,2
105,Nicaragua,7,10-14,10,14,12,360071,348302,3
106,Nicaragua,7,15-19,19,19,17,321716,311895,4
107,Nicaragua,7,20-24,20,24,22,283951,277704,5
108,Nicaragua,7,25-29,25,29,27,242599,241721,6
109,Nicaragua,7,30-34,30,34,32,202629,203066,7
110,Nicaragua,7,35-39,35,39,37,163516,166290,8
111,Nicaragua,7,40-44,40,44,42,129072,133874,9
112,Nicaragua,7,45-49,45,49,47,100361,110085,10
113,Nicaragua,7,50-54,50,54,52,80791,86490,11
114,Nicaragua,7,55-59,55,59,57,56877,60077,12
115,Nicaragua,7,60-64,60,64,62,41553,46815,13
116,Nicaragua,7,65-69,65,69,67,31854,36625,14
117,Nicaragua,7,70-74,70,74,72,20934,27263,15
118,Nicaragua,7,75-79,75,79,77,12766,17766,16
119,Nicaragua,7,80,80,100,80,8381,12716,17
120,Mexico,8,0-4,0.1,4,2,5591297,5351893,1
121,Mexico,8,5-9,5,9,7,5615114,5386260,2
122,Mexico,8,10-14,10,14,12,5637989,5431358,3
123,Mexico,8,15-19,19,19,17,5360143,5245757,4
124,Mexico,8,20-24,20,24,22,4748335,4872106,5
125,Mexico,8,25-29,25,29,27,4411013,4634356,6
126,Mexico,8,30-34,30,34,32,4182781,4377345,7
127,Mexico,8,35-39,35,39,37,3551533,3904366,8
128,Mexico,8,40-44,40,44,42,2989056,3399205,9
129,Mexico,8,45-49,45,49,47,2628733,2884106,10
130,Mexico,8,50-54,50,54,52,1921364,2182663,11
131,Mexico,8,55-59,55,59,57,1549453,1759405,12
132,Mexico,8,60-64,60,64,62,1278632,1444784,13
133,Mexico,8,65-69,65,69,67,992127,1137962,14
134,Mexico,8,70-74,70,74,72,717086,847798,15
135,Mexico,8,75-79,75,79,77,483176,590483,16
136,Mexico,8,80,80,100,80,522621,682603,17
137,US,9,0-4,0.1,4,2,9810733,9365065,1
138,US,9,5-9,5,9,7,10523277,10026228,2
139,US,9,10-14,10,14,12,10520197,10007875,3
140,US,9,15-19,19,19,17,10391004,9828886,4
141,US,9,20-24,20,24,22,9687814,9276187,5
142,US,9,25-29,25,29,27,9798760,9582576,6
143,US,9,30-34,30,34,32,10321769,10188619,7
144,US,9,35-39,35,39,37,11318696,11387968,8
145,US,9,40-44,40,44,42,11129102,11312761,9
146,US,9,45-49,45,49,47,9889506,10202898,10
147,US,9,50-54,50,54,52,8607724,8977824,11
148,US,9,55-59,55,59,57,6508729,6960508,12
149,US,9,60-64,60,64,62,5136627,5668820,13
150,US,9,65-69,65,69,67,4400362,5133183,14
151,US,9,70-74,70,74,72,3902912,4954529,15
152,US,9,75-79,75,79,77,3044456,4371357,16
153,US,9,80,80,100,80,3061895,6123059,17
