AGE,MALE,FEMALE
Under 1 year,1949017,1856631
1 year,1953105,1867477
2 years,1938990,1851456
3 years,1958963,1873836
4 years,2010658,1915665
5 years,2031072,1934031
6 years,2058217,1961488
7 years,2109868,2008279
8 years,2137829,2041401
9 years,2186291,2081029
10 years,2191244,2082812
11 years,2108157,2006936
12 years,2087228,1988614
13 years,2054008,1956842
14 years,2079560,1972671
15 years,2065127,1954277
16 years,2048582,1926439
17 years,2091280,1954732
18 years,2078853,1972745
19 years,2107162,2020693
20 years,2071220,1978228
21 years,1965673,1875409
22 years,1921549,1837099
23 years,1875400,1798182
24 years,1853972,1787269
25 years,1905899,1838640
26 years,1832383,1787277
27 years,1914947,1874853
28 years,2010807,1974005
29 years,2134724,2107801
30 years,2174238,2115732
31 years,2019782,1991793
32 years,2008877,1985244
33 years,2018017,2008556
34 years,2100855,2087294
35 years,2265621,2250497
36 years,2247529,2263639
37 years,2250122,2266938
38 years,2268083,2285731
39 years,2287341,2321163
40 years,2352606,2358828
41 years,2213034,2253642
42 years,2256543,2290677
43 years,2178451,2229419
44 years,2128468,2180195
45 years,2151115,2190345
46 years,2009570,2077993
47 years,1976128,2043564
48 years,1909672,1975473
49 years,1843021,1915523
50 years,1871638,1936877
51 years,1769463,1847534
52 years,1815785,1891651
53 years,1778423,1856617
54 years,1372415,1445145
55 years,1386859,1463741
56 years,1375187,1462265
57 years,1384196,1479824
58 years,1222709,1317443
59 years,1139778,1237235
60 years,1111560,1208384
61 years,1061679,1159548
62 years,1033865,1137207
63 years,971203,1081948
64 years,958320,1081733
65 years,950651,1079260
66 years,864156,996164
67 years,874079,1022372
68 years,856145,1008370
69 years,855331,1027017
70 years,844517,1030658
71 years,798517,989752
72 years,791164,1000532
73 years,751433,973735
74 years,717281,959852
75 years,695865,955776
76 years,647773,908794
77 years,599742,861039
78 years,579368,852548
79 years,521708,793200
80 years,467013,740352
81 years,406546,665502
82 years,364815,616747
83 years,317289,565774
84 years,279234,522095
85 years,244874,485320
86 years,204981,430173
87 years,173520,383810
88 years,139395,326086
89 years,113731,287928
90 years,89678,238226
91 years,68980,197406
92 years,54437,163780
93 years,39693,129373
94 years,29537,101421
95 years,21097,76998
96 years,14704,57976
97 years,10308,42536
98 years,6804,29199
99 years,5202,21960
100 to 104 years,8828,36717
105 to 109 years,685,2836
110 years and over,544,844
