Reference Area,Time Period,Sex,Age group,Unit of measurement,Nature,Value
Algeria,2014,Female,18+,Number,Not Available,1
Argentina,2014,Female,<18,Number,Not Available,19
Argentina,2014,Female,18+,Number,Not Available,186
Argentina,2014,Male,<18,Number,Not Available,6
Argentina,2014,Male,18+,Number,Not Available,133
Armenia,2014,Female,18+,Number,Not Available,6
Armenia,2014,Male,<18,Number,Not Available,1
Australia,2014,Female,<18,Number,Not Available,2
Australia,2014,Female,18+,Number,Not Available,25
Australia,2014,Male,<18,Number,Not Available,1
Australia,2014,Male,18+,Number,Not Available,5
Austria,2014,Female,<18,Number,Not Available,3
Austria,2014,Female,18+,Number,Not Available,19
Austria,2014,Male,18+,Number,Not Available,26
Azerbaijan,2014,Female,18+,Number,Not Available,51
Azerbaijan,2014,Male,18+,Number,Not Available,3
Bahamas,2014,Female,18+,Number,Not Available,3
Bahrain,2014,Female,18+,Number,Not Available,49
Bahrain,2014,Male,18+,Number,Not Available,47
Belarus,2014,Female,<18,Number,Not Available,10
Belarus,2014,Female,18+,Number,Not Available,69
Belarus,2014,Male,<18,Number,Not Available,2
Belarus,2014,Male,18+,Number,Not Available,16
Belgium,2014,Female,<18,Number,Not Available,5
Belgium,2014,Female,18+,Number,Not Available,49
Belgium,2014,Male,18+,Number,Not Available,84
Bolivia (Plurinational State of),2014,Female,<18,Number,Not Available,309
Bolivia (Plurinational State of),2014,Female,18+,Number,Not Available,374
Bolivia (Plurinational State of),2014,Male,<18,Number,Not Available,139
Bolivia (Plurinational State of),2014,Male,18+,Number,Not Available,164
Bulgaria,2014,Female,<18,Number,Not Available,29
Bulgaria,2014,Female,18+,Number,Not Available,433
Bulgaria,2014,Male,<18,Number,Not Available,12
Bulgaria,2014,Male,18+,Number,Not Available,17
Canada,2014,Female,<18,Number,Not Available,33
Canada,2014,Female,18+,Number,Not Available,67
Canada,2014,Male,18+,Number,Not Available,10
Chile,2014,Female,18+,Number,Not Available,1
Chile,2014,Male,<18,Number,Not Available,1
Colombia,2014,Female,<18,Number,Not Available,9
Colombia,2014,Female,18+,Number,Not Available,15
Colombia,2014,Male,<18,Number,Not Available,2
Colombia,2014,Male,18+,Number,Not Available,15
Costa Rica,2014,Female,18+,Number,Not Available,4
Costa Rica,2014,Male,18+,Number,Not Available,1
Czechia,2014,Female,<18,Number,Not Available,9
Czechia,2014,Female,18+,Number,Not Available,3
Czechia,2014,Male,18+,Number,Not Available,8
Denmark,2014,Female,<18,Number,Not Available,3
Denmark,2014,Female,18+,Number,Not Available,60
Denmark,2014,Male,<18,Number,Not Available,2
Denmark,2014,Male,18+,Number,Not Available,6
Ecuador,2014,Female,<18,Number,Not Available,78
Ecuador,2014,Female,18+,Number,Not Available,35
Ecuador,2014,Male,<18,Number,Not Available,9
